Title,Title_link,Brand,price-label,Price,price-ppum,Headline,DetailPrice,SKU
Arroz grado 1 grano largo y ancho 1 kg,https://www.jumbo.cl/arroz-grado-1-miraflores-1-kg-grano-largo-y-ancho/p,Miraflores,(Normal),$1.519,$1.519 x kg,Arroz grado 1 grano largo y ancho 1 kg,"$1.519,$810",Código: 264577
Arroz grado 1 Premium grano largo y ancho 1 kg,https://www.jumbo.cl/arroz-grado-1-banquete-1-kg-premium-grano-largo-y-ancho/p,Banquete,(Normal),$1.359,$1.359 x kg,Arroz grado 1 Premium grano largo y ancho 1 kg,"$1.359,$810,$2.529,$990,$1.210",Código: 264573
Arroz grado 1 gran selección grano largo y ancho 1 kg,https://www.jumbo.cl/arroz-grado-1-tucapel-gran-seleccion-grano-largo-y-ancho-1-kg/p,Tucapel,(Normal),$1.339,$1.339 x kg,Arroz grado 1 gran selección grano largo y ancho 1 kg,$1.339,Código: 264584
Arroz grado 1 pregraneado grano largo 1 kg,https://www.jumbo.cl/arroz-grado-1-tucapel-1-kg-pregraneado-grano-largo/p,Tucapel,(Normal),$1.319,$1.319 x kg,Arroz grado 1 pregraneado grano largo 1 kg,$1.319,Código: 264585
Arroz grado 2 gran selección grano largo y ancho 1 kg,https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-gran-seleccion-grano-largo-y-ancho/p,Tucapel,(Normal),$1.199,$1.199 x kg,Arroz grado 2 gran selección grano largo y ancho 1 kg,"$1.199,$759,$950,$3.549,$1.549,$1.090",Código: 264594
Arroz grado 2 blue grano largo y delgado 1 kg,https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-blue-bonnet-grano-largo-y-delgado/p,Tucapel,(Normal),$950,$950 x kg,Arroz grado 2 blue grano largo y delgado 1 kg,$950,Código: 264603
Arroz grado 1 largo delgado 1 kg,https://www.jumbo.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845786/p,Cuisine & Co,(Normal),$999,$999 x kg,Arroz grado 1 largo delgado 1 kg,"$999,$599,$1.210,$1.090,$1.399,$2.529,$2.399,$1.459",Código: 1845786
Arroz grado 1 integral 1 kg,https://www.jumbo.cl/arroz-integral-tucapel-1-kg-grado-1/p,Tucapel,(Normal),$1.449,$1.449 x kg,Arroz grado 1 integral 1 kg,$1.449,Código: 270343
Arroz grado 1 grano largo ancho 2 kg,https://www.jumbo.cl/arroz-grado-1-banquete-2-kg-envase-degradable/p,Banquete,(Normal),$2.529,$1.265 x kg,Arroz grado 1 grano largo ancho 2 kg,"$2.529,$810",Código: 1219645
Arroz grado 2 largo delgado 1 kg,https://www.jumbo.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845787/p,Cuisine & Co,(Ref.),,,Arroz grado 2 largo delgado 1 kg,,Código: 1845787
