Title,Title_link,Thumbnail,(Ref,product-name,Price,product-attribute,Field1
Arroz Grano Largo Ancho Grado 1,https://www.lider.cl/supermercado/product/Miraflores-Arroz-Grano-Largo-Ancho-Grado-1/2405,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2405a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Miraflores,$1.430,1 Kg,(Ref: 286711)
Arroz Grado 1 Grano Largo Ancho Bolsa,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Grado-1-Grano-Largo-Ancho-Bolsa/2403,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2403a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$1.250,1 kg,(Ref: 275040)
Arroz Grado 2 Bolsa,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Grado-2-Bolsa/2411,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2411a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$850,1 kg,(Ref: 275203)
Arroz Pre graneado Grano Largo Bolsa,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Pre-graneado-Grano-Largo-Bolsa/11499,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/11499a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$1.170,1 kg,(Ref: 275003)
Arroz Grado 2 Bolsa,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Grado-2-Bolsa/2413,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2413a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$1.140,1 kg,(Ref: 275109)
Arroz Grado 1 Grano Largo Bolsa,https://www.lider.cl/supermercado/product/Banquete-Arroz-Grado-1-Grano-Largo-Bolsa/314427,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/314427a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Banquete,$1.250,1 kg,(Ref: 275382)
Arroz Grado 1 Grano Largo y Delgado Bolsa,https://www.lider.cl/supermercado/product/Lider-Arroz-Grado-1-Grano-Largo-y-Delgado-Bolsa/770748,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/770748a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Lider,$970,1 kg,(Ref: 561799)
Arroz Grado 2 Grano Largo Delgado Bolsa,https://www.lider.cl/supermercado/product/Lider-Arroz-Grado-2-Grano-Largo-Delgado-Bolsa/315529,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/315529a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Lider,$850,1 kg,(Ref: 276011)
Arroz Grado 2 Grano Largo Bolsa,https://www.lider.cl/supermercado/product/Banquete-Arroz-Grado-2-Grano-Largo-Bolsa/314575,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/314575a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Banquete,$1.110,1 kg,(Ref: 275475)
Arroz Largo Ancho Grado 1,https://www.lider.cl/supermercado/product/Lider-Arroz-Largo-Ancho-Grado-1/313269,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/313269a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Lider,$1.150,1 kg,(Ref: 274659)
Arroz Grado 2 Largo,https://www.lider.cl/supermercado/product/Coliseo-Arroz-Grado-2-Largo/560556,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/560556a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Coliseo,$850,1 kg,(Ref: 719870)
Arroz Pre Graneado Grado 1 Grano Largo,https://www.lider.cl/supermercado/product/Lider-Arroz-Pre-Graneado-Grado-1-Grano-Largo/809810,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/809810a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Lider,$1.150,1 kg,(Ref: 583420)
Arroz Pregraneado Bolsa,https://www.lider.cl/supermercado/product/Miraflores-Arroz-Pregraneado-Bolsa/268636,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/268636a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Miraflores,$1.410,1 kg,(Ref: 242330)
Arroz Basmati Bolsa,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Basmati-Bolsa/616417,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/616417a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$3.420,1 kg,(Ref: 692402)
Arroz Grado 1 Grano Largo Bolsa,https://www.lider.cl/supermercado/product/Banquete-Arroz-Grado-1-Grano-Largo-Bolsa/537408,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/537408a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Banquete,$2.500,2 kg,(Ref: 421515)
Arroz Largo Ancho Grado 2,https://www.lider.cl/supermercado/product/Lider-Arroz-Largo-Ancho-Grado-2/12167,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/12167a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Lider,$980,1 kg,(Ref: 274702)
Arroz Risotto Italiano Doypack,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Risotto-Italiano-Doypack/616421,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/616421a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$3.100,1 kg,(Ref: 693118)
Arroz Clásico Escogido Bolsa,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Clásico-Escogido-Bolsa/313761,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/313761a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$1.470,1 kg,(Ref: 274962)
Arroz Extra Clásico G1,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Extra-Clásico-G1/996205,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/996205a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$1.430,1 Kg,(Ref: 691381)
Arroz Grado 1,https://www.lider.cl/supermercado/product/Oregon-Arroz-Grado-1/1047044,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1047044a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Oregon,$1.050,1 kg,(Ref: 720849)
