Nombre,Brand,Link,price-label,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Arroz grado 1 grano largo y ancho 1 kg,Miraflores,https://www.jumbo.cl/arroz-grado-1-miraflores-1-kg-grano-largo-y-ancho/p,(Normal),,$1.519,,Código: 264577,"Arroz Miraflores Grado 1, caracterizado por su longitud consistencia y sabor. Ideal para acompañar cualquier tipo de comida.",https://jumbo.vtexassets.com/arquivos/ids/453071-750-750?width=750&height=750&aspect=true
Arroz grado 1 Premium grano largo y ancho 1 kg,Banquete,https://www.jumbo.cl/arroz-grado-1-banquete-1-kg-premium-grano-largo-y-ancho/p,(Normal),,$1.359,,Código: 264573,"Delicioso Arroz grado 1 Premium grano largo y ancho 1 kg, perfecto para tus preparaciones favoritas. Banquete te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/414154-750-750?width=750&height=750&aspect=true
Arroz grado 1 gran selección grano largo y ancho 1 kg,Tucapel,https://www.jumbo.cl/arroz-grado-1-tucapel-gran-seleccion-grano-largo-y-ancho-1-kg/p,(Normal),,$1.339,,Código: 264584,"Arroz Grado 1 Tucapel con granos largos y anchos de Gran Selección. El arroz grado 1 contiene un 95% de granos enteros, ideal para tus almuerzos y comidas.",https://jumbo.vtexassets.com/arquivos/ids/459002-750-750?width=750&height=750&aspect=true
Arroz grado 1 pregraneado grano largo 1 kg,Tucapel,https://www.jumbo.cl/arroz-grado-1-tucapel-1-kg-pregraneado-grano-largo/p,(Ref.),$1.099,,,Código: 264585,"Arroz Grado 1 Tucapel con granos largos pregraneados. El arroz grado 1 contiene un 95% de granos enteros, ideal para tus almuerzos y comidas.",https://jumbo.vtexassets.com/arquivos/ids/459001-750-750?width=750&height=750&aspect=true
Arroz grado 2 gran selección grano largo y ancho 1 kg,Tucapel,https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-gran-seleccion-grano-largo-y-ancho/p,(Normal),,$1.199,,Código: 264594,"Arroz Grado 2 Tucapel con granos largos y anchos de Gran Selección. El arroz grado 2 contiene un 80% de granos enteros, ideal para tus almuerzos y comidas.",https://jumbo.vtexassets.com/arquivos/ids/459006-750-750?width=750&height=750&aspect=true
Arroz grado 2 blue grano largo y delgado 1 kg,Tucapel,https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-blue-bonnet-grano-largo-y-delgado/p,(Normal),,$950,,Código: 264603,"Arroz Grado 2 Tucapel con granos largos y delgados. El arroz grado 2 contiene un 80% de granos enteros, ideal para tus almuerzos y comidas.",https://jumbo.vtexassets.com/arquivos/ids/459078-750-750?width=750&height=750&aspect=true
Arroz grado 1 largo delgado 1 kg,Cuisine & Co,https://www.jumbo.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845786/p,(Ref.),$899,,,Código: 1845786,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",https://jumbo.vtexassets.com/arquivos/ids/410870-750-750?width=750&height=750&aspect=true
Cuscús doypack 250 g,Carozzi,https://www.jumbo.cl/cous-cous-carozzi-250-g-comida-arabe-envase-doypack/p,(Normal),,$1.219,,Código: 1568725,"Exquisito Cuscús 250 g, perfecto para compartir y disfrutar su delicioso sabor en un genial almuerzo familiar. Navega y conoce la gran variedad de pastas que Carozzi tiene para ti.",https://jumbo.vtexassets.com/arquivos/ids/452848-750-750?width=750&height=750&aspect=true
Arroz grado 2 largo delgado 1 kg,Cuisine & Co,https://www.jumbo.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845787/p,(Normal),,$899,,Código: 1845787,"Arroz Largo y fino es el alimento básico en muchas culturas culinarias, así como en algunas partes de América Latina. Producto libre de gluten.",https://jumbo.vtexassets.com/arquivos/ids/410745-750-750?width=750&height=750&aspect=true
Arroz grado 1 integral 1 kg,Tucapel,https://www.jumbo.cl/arroz-integral-tucapel-1-kg-grado-1/p,(Normal),,$1.449,,Código: 270343,"Arroz Integral Tucapel de grano  largo y ancho grado 1. Fortificado con Vitaminas y Minerales, que proporcionan un buena fuente de fibra.",https://jumbo.vtexassets.com/arquivos/ids/459005-750-750?width=750&height=750&aspect=true
Lentejas bolsa 4 mm 1 kg,Banquete,https://www.jumbo.cl/lentejas-banquete-bolsa-1-kg-4mm/p,(Normal),,$2.459,,Código: 751897,"Deliciosas Lentejas bolsa 4 mm 1 kg, perfectas para tus preparaciones favoritas. Banquete te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/459015-750-750?width=750&height=750&aspect=true
Quinoa 400 g,Banquete,https://www.jumbo.cl/quinoa-banquete-natura-no-requiere-lavado-cierra-facil-400g/p,(Normal),,$3.190,,Código: 1597043,"Deliciosa Quinoa 400 g, perfecta para tus preparaciones favoritas. Banquete te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/458995-750-750?width=750&height=750&aspect=true
Arroz grado 1 grano largo ancho 2 kg,Banquete,https://www.jumbo.cl/arroz-grado-1-banquete-2-kg-envase-degradable/p,(Normal),,$2.529,,Código: 1219645,"Delicioso Arroz grado 1 envase degradable 2 kg, perfecto para tus preparaciones favoritas. Badia te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/395818-750-750?width=750&height=750&aspect=true
Quinoa tricolor 250 g,Vivo,https://www.jumbo.cl/quinoa-vivo-tricolor-250-g/p,(Normal),,$1.990,,Código: 1761138,"Quinoa Tricolor Blanca, Negra y Roja. 100% Natural, Lavada y lista para preparar en 20 minutos. La Quinoa es una buena fuente de proteínas y alta en fibra dietética.",https://jumbo.vtexassets.com/arquivos/ids/452981-750-750?width=750&height=750&aspect=true
