Name,SKU,Brand,Title_link,Img,Price,product-attribute
Arroz Grano Largo Ancho Grado 1,(Ref: 286711),Miraflores,https://www.lider.cl/supermercado/product/Miraflores-Arroz-Grano-Largo-Ancho-Grado-1/2405,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2405a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.300,1 Kg
Arroz Grado 1 Grano Largo Ancho Bolsa,(Ref: 275040),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Grado-1-Grano-Largo-Ancho-Bolsa/2403,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2403a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.280,1 kg
Arroz Grado 2 Bolsa,(Ref: 275203),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Grado-2-Bolsa/2411,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2411a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$960,1 kg
Arroz Pre graneado Grano Largo Bolsa,(Ref: 275003),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Pre-graneado-Grano-Largo-Bolsa/11499,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/11499a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.290,1 kg
Arroz Grado 2 Bolsa,(Ref: 275109),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Grado-2-Bolsa/2413,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2413a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.140,1 kg
Arroz Grado 1 Grano Largo Bolsa,(Ref: 275382),Banquete,https://www.lider.cl/supermercado/product/Banquete-Arroz-Grado-1-Grano-Largo-Bolsa/314427,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/314427a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.290,1 kg
Arroz Grado 1 Grano Largo y Delgado Bolsa,(Ref: 561799),Lider,https://www.lider.cl/supermercado/product/Lider-Arroz-Grado-1-Grano-Largo-y-Delgado-Bolsa/770748,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/770748a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$890,1 kg
Arroz Grado 2 Grano Largo Delgado Bolsa,(Ref: 276011),Lider,https://www.lider.cl/supermercado/product/Lider-Arroz-Grado-2-Grano-Largo-Delgado-Bolsa/315529,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/315529a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$850,1 kg
Arroz Grado 2 Grano Largo Bolsa,(Ref: 275475),Banquete,https://www.lider.cl/supermercado/product/Banquete-Arroz-Grado-2-Grano-Largo-Bolsa/314575,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/314575a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.140,1 kg
Arroz Largo Ancho Grado 1,(Ref: 274659),Lider,https://www.lider.cl/supermercado/product/Lider-Arroz-Largo-Ancho-Grado-1/313269,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/313269a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.150,1 kg
Arroz Grado 2 Largo,(Ref: 719870),Coliseo,https://www.lider.cl/supermercado/product/Coliseo-Arroz-Grado-2-Largo/560556,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/560556a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$760,1 kg
Arroz Pre Graneado Grado 1 Grano Largo,(Ref: 583420),Lider,https://www.lider.cl/supermercado/product/Lider-Arroz-Pre-Graneado-Grado-1-Grano-Largo/809810,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/809810a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.150,1 kg
Arroz Pregraneado Bolsa,(Ref: 242330),Miraflores,https://www.lider.cl/supermercado/product/Miraflores-Arroz-Pregraneado-Bolsa/268636,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/268636a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.410,1 kg
Arroz Basmati Bolsa,(Ref: 692402),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Basmati-Bolsa/616417,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/616417a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$3.820,1 kg
Arroz Grado 1 Grano Largo Bolsa,(Ref: 421515),Banquete,https://www.lider.cl/supermercado/product/Banquete-Arroz-Grado-1-Grano-Largo-Bolsa/537408,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/537408a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$2.500,2 kg
Arroz Largo Ancho Grado 2,(Ref: 274702),Lider,https://www.lider.cl/supermercado/product/Lider-Arroz-Largo-Ancho-Grado-2/12167,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/12167a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$980,1 kg
