Title,Title_link,Thumbnail,Brand,EAN,Price,Especificaciones
Arroz arborio,https://www.tottus.cl/scotti-arroz-arborio-risotto-scotti-1-kl-00500022/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/00500022-iVh3yqQv-medium.jpg,SCOTTI - 1 KG,"<div id=""OKTS_div"" data-ean=""8001860201011"" class=""jsx-273525516""></div>",$4.720 UN,Formato1 kgMarcascottiSellertottusBusiness score1
Arroz Integral,https://www.tottus.cl/banquete-arroz-integral-multigrano-20265825/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20265825-VXk2Qwei-medium.jpg,BANQUETE - 400 G,"<div id=""OKTS_div"" data-ean=""7801420001577"" class=""jsx-273525516""></div>",$1.159 UN,Formato400 gAzucares totales por 100 gr g1.9 gHidratos de carbono disponibles por 100 gr g56 gSodio por porcion mg2.7 mgSellertottusGrasa total por 100 gr g9.5 gEnergia por 100 gr kcal346 kcalGrasa total por porcion g4.8 gAzucares totales por porcion g1 gMarcabanqueteProteinas por porcion g5.2 gUnidades por paquete1Business score1Energia por porcion kcal173 kcalSodio por 100 gr mg5.3 mgProteinas por 100 gr g10.4 g
Arroz Rissoto Italiano,https://www.tottus.cl/tucapel-arroz-risotto-italiano-20235299/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20235299-M2ix7Ije-medium.jpg,TUCAPEL - 1 KG,"<div id=""OKTS_div"" data-ean=""7801420001553"" class=""jsx-273525516""></div>",$3.279 UN,Formato1 KgAzucares totales por 100 gr g0 gHidratos de carbono disponibles por 100 gr g39 gSodio por porcion mg0 mgSellertottusGrasa total por 100 gr g0 gEnergia por 100 gr kcal172 kcalGrasa total por porcion g0 gAzucares totales por porcion g0 gMarcatucapelProteinas por porcion g2 gUnidades por paquete1Business score1Energia por porcion kcal86 kcalSodio por 100 gr mg0 mgProteinas por 100 gr g3.9 gSticker appsticker_jose
Arroz G1 Grano Largo Angosto,https://www.tottus.cl/tucapel-arroz-blue-bonnet-grado-1-20341802/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20341802-Ou1IejbK-medium.jpg,TUCAPEL - 1 KG,"<div id=""OKTS_div"" data-ean=""7801420001690"" class=""jsx-273525516""></div>",$1.290 UN,Formato1 kgMarcatucapelSellertottusBusiness score1
Arroz G2 Grano Largo Angosto,https://www.tottus.cl/tucapel-arroz-blue-bonnet-grado-2-01024072/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024072-gDCgkcik-medium.jpg,TUCAPEL - 1 KG,"<div id=""OKTS_div"" data-ean=""7801420210139"" class=""jsx-273525516""></div>",$949 UN,Formato1 KgAzucares totales por 100 gr g0.6 gHidratos de carbono disponibles por 100 gr g72.4 gSodio por porcion mg1.8 mgSellertottusGrasa total por 100 gr g0.9 gEnergia por 100 gr kcal327 kcalGrasa total por porcion g0.5 gAzucares totales por porcion g0.3 gMarcatucapelProteinas por porcion g3.6 gUnidades por paquete1Business score1Energia por porcion kcal164 kcalSodio por 100 gr mg3.5 mgProteinas por 100 gr g7.3 gSticker appsticker_jose
Arroz G2 Grano Largo Ancho,https://www.tottus.cl/tucapel-arroz-gran-seleccion-graneado-grado-2-01024076/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024076-FV7o4EhO-medium.png,TUCAPEL - 1 KG,"<div id=""OKTS_div"" data-ean=""7801420250135"" class=""jsx-273525516""></div>",$1.310 UN,Formato1 KgMarcatucapelSellertottusBusiness score1
Arroz Miraflores G1 Pregraneado,https://www.tottus.cl/miraflores-arroz-pregraneado-01024090/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024090-LlLehad0-medium.jpg,MIRAFLORES - 1 KG,"<div id=""OKTS_div"" data-ean=""7802615006568"" class=""jsx-273525516""></div>",$1.560 UN,Formato1 KgAzucares totales por 100 gr g0.6 gHidratos de carbono disponibles por 100 gr g77.8 gSodio por porcion mg1 mgSellertottusGrasa total por 100 gr g1.4 gEnergia por 100 gr kcal353 kcalGrasa total por porcion g0.7 gAzucares totales por porcion g0.3 gMarcamirafloresProteinas por porcion g3.7 gUnidades por paquete1Business score1Energia por porcion kcal177 kcalSodio por 100 gr mg2 mgProteinas por 100 gr g7.3 g
Arroz G1 Grano Largo Ancho,https://www.tottus.cl/banquete-arroz--premium-grado-1-20163288/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20163288-tMRcz_e5-medium.jpg,BANQUETE - 2 KG,"<div id=""OKTS_div"" data-ean=""7803110000198"" class=""jsx-273525516""></div>",$2.630 UN,Formato2 kgAzucares totales por 100 gr g0.6 gHidratos de carbono disponibles por 100 gr g73 gSodio por porcion mg0.6 mgSellertottusGrasa total por 100 gr g0.8 gEnergia por 100 gr kcal325 kcalGrasa total por porcion g0.4 gAzucares totales por porcion g0.3 gMarcabanqueteProteinas por porcion g3.1 gUnidades por paquete1Business score1Energia por porcion kcal163 kcalSodio por 100 gr mg1.2 mgProteinas por 100 gr g6.2 g
Arroz G1 Grano Largo Ancho,https://www.tottus.cl/banquete-arroz-premium-grado-1-01024033/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024033-yZUu1IoZ-medium.jpg,BANQUETE - 1 KG,"<div id=""OKTS_div"" data-ean=""7803110102212"" class=""jsx-273525516""></div>",$1.300 UN,Formato1 kgAzucares totales por 100 gr g0.6 gHidratos de carbono disponibles por 100 gr g73 gSodio por porcion mg0.6 mgSellertottusGrasa total por 100 gr g0.8 gEnergia por 100 gr kcal325 kcalGrasa total por porcion g0.4 gAzucares totales por porcion g0.3 gMarcabanqueteProteinas por porcion g3.1 gUnidades por paquete1Business score1Energia por porcion kcal163 kcalSodio por 100 gr mg1.2 mgProteinas por 100 gr g6.2 g
Arroz G2 Grano Largo Angosto,https://www.tottus.cl/tottus-arroz-largo-fino-grado-2-20314273/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20314273-AkfJaEQW-medium.jpg,TOTTUS - 1 KG,"<div id=""OKTS_div"" data-ean=""7804608222474"" class=""jsx-273525516""></div>",$910 UN,"Formato1 KgAzucares totales por 100 gr g0 gHidratos de carbono disponibles por 100 gr g78 gSodio por porcion mg0,7 mgSellertottusGrasa total por 100 gr g0,7 gEnergia por 100 gr kcal349 kcalGrasa total por porcion g0,4 gAzucares totales por porcion g0 gMarcatottusProteinas por porcion g4,1 gUnidades por paquete1Business score1Energia por porcion kcal175 kcalSodio por 100 gr mg1,3 mgProteinas por 100 gr g8,1 gSticker appounicapp"
Arroz Risotto Miraflores,https://www.tottus.cl/miraflores-arroz-risotto-miraflores-04-kl-20627840/p/,,MIRAFLORES - 400 G,"<div id=""OKTS_div"" data-ean=""7800120176790"" class=""jsx-273525516""></div>",$1.590 UN,Formato400 gMarcamirafloresSellertottusBusiness score1
Arroz Miraflores G1 Grano Largo Ancho,https://www.tottus.cl/miraflores-arroz-largo-ancho-grado-1-01024094/p/,,MIRAFLORES - 1 KG,"<div id=""OKTS_div"" data-ean=""7802615006551"" class=""jsx-273525516""></div>",$1.390 UN,Formato1 KgAzucares totales por 100 gr g0.4 gHidratos de carbono disponibles por 100 gr g74 gSodio por porcion mg1 mgSellertottusGrasa total por 100 gr g1.3 gEnergia por 100 gr kcal335 kcalGrasa total por porcion g0.7 gAzucares totales por porcion g0.2 gMarcamirafloresProteinas por porcion g3.4 gUnidades por paquete1Business score1Energia por porcion kcal168 kcalSodio por 100 gr mg2 mgProteinas por 100 gr g6.7 gSticker appsticker_jose
