Nombre,Brand,Link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Pack 24 un. Cerveza lager 5.2° 330 cc,Stella Artois,https://www.jumbo.cl/pack-cerveza-stella-artois-24-unid-330-cc-c-u/p,$12.990,,$11.690,Código: 1773090,"Tradicional y sofisticada lager de origen belga, caracterizada por un sabor amargo y un ligero final. En su versión de 330 cc. Pack de 24 unidades.",https://jumbo.vtexassets.com/arquivos/ids/297201-750-750?width=750&height=750&aspect=true
Pack 24 un. Cerveza Golden Lager 4.8° 330 cc,Cusqueña,https://www.jumbo.cl/pack-cerveza-cusquena-golden-24-unid-330-cc-c-u/p,,$21.990,,Código: 1802329,Cusqueña Dorada es la variedad con más credenciales de calidad de nuestra familia. Su exquisito sabor y color dorado intenso se obtienen debido a un proceso especial de elaboración con triple filtrado. El sabor y aroma queda la distinguen se consiguen utilizando 100% malta en combinación con el más fino lúpulo Saaz.,https://jumbo.vtexassets.com/arquivos/ids/410195-750-750?width=750&height=750&aspect=true
Cerveza Landvik lager 4.5° lata 330 cc,Landvik,https://www.jumbo.cl/cerv-landvik-4-5-lata-330cc/p,,$520,,Código: 1836217,"La cerveza Landvik lager de color dorado transparente con notas cítricas y cálidas, espuma abundante.",https://jumbo.vtexassets.com/arquivos/ids/366030-750-750?width=750&height=750&aspect=true
Pack 6 un. Cerveza rubia botella 330 cc,Corona,https://www.jumbo.cl/cerveza-corona-botella-6x330cc-2/p,,$6.290,,Código: 1850069-PAK,"Para disfrutar de la mejor manera solo necesitas Cerveza Corona, limón de pica, atardecer y amigos. Corona es todo lo que necesitas para vivir ese momento perfecto.",https://jumbo.vtexassets.com/arquivos/ids/356779-750-750?width=750&height=750&aspect=true
Pack 12 un. cerveza Torobayo botella 330 cc c/u,Kunstmann,https://www.jumbo.cl/pack-de-cervezas-kunstmann-pack-12-unid-330-cc-cu-torobayo/p,$12.490,,,Código: 1560566,"El gran ícono de nuestras especialidades se presenta con su característico color ámbar brillante, destacan sus aromas frutales a durazno. Sus notas a caramelo la transforman en una cerveza muy equilibrada y fácil de beber.",https://jumbo.vtexassets.com/arquivos/ids/363585-750-750?width=750&height=750&aspect=true
Pack 10 un. cerveza belga lager 5.2° 354 cc c/u,Stella Artois,https://www.jumbo.cl/pack-de-cervezas-stella-artois-pack-10-unid-354-cc-cu/p,$4.990,,,Código: 1523595,"Cerveza con más de 600 años de tradición Belga que hace un momento más especial. Elaborada con ingredientes premium que hacen de Stella Artois, una cerveza de alta calidad con un sabor original",https://jumbo.vtexassets.com/arquivos/ids/397763-750-750?width=750&height=750&aspect=true
Pack 6 un. Cerveza Stubby 5° botella 355 cc,Coors,https://www.jumbo.cl/cerv-coors-stubby-5-0g-bot-355cc-2/p,$5.390,,,Código: 1800112-PAK,"Cerveza Coors de carácter,  ligera y agradable, ideal para refrescarte en todo momento, junto a tus amigos.",https://jumbo.vtexassets.com/arquivos/ids/415049-750-750?width=750&height=750&aspect=true
Pack 18 un. cerveza 330 cc c/u,Sol,https://www.jumbo.cl/pack-cerveza-sol-18-unid-330-cc-c-u/p,$10.990,,,Código: 1821223,,https://jumbo.vtexassets.com/arquivos/ids/410361-750-750?width=750&height=750&aspect=true
Pack 18 un. Cerveza Golden 4.8° 354 cc,Cusqueña,https://www.jumbo.cl/cer-cusquena-golden-18-lat-354cc-4-8-alc-1884946/p,$7.990,,,Código: 1884946,"Cusqueña Dorada es la variedad con más credenciales de calidad de nuestra familia.
Su exquisito sabor y color dorado intenso se obtienen debido a un proceso especial de elaboración con triple filtrado. El sabor y aroma queda la distinguen se consiguen utilizando 100% malta en combinación con el más fino lúpulo Saaz.",https://jumbo.vtexassets.com/arquivos/ids/452560-750-750?width=750&height=750&aspect=true
Pack 6 un. cerveza maracuyá 350 cc,Stones,https://www.jumbo.cl/pack-cerveza-lemon-stones-maracuya-6-unid-350-cc-c-u/p,$4.490,,,Código: 1649567-PAK,"Cuando llega el verano, llega el sabor refrescante de Stones. Los expertos en mix crearon algo único: una lager de color amarillo pálido que mezcla todo el sabor de la maracuyá y lo refrescante de la cerveza. Una mezcla diferente, liviana y de mucho sabor.",https://jumbo.vtexassets.com/arquivos/ids/398977-750-750?width=750&height=750&aspect=true
