Name,SKU,Brand,Title_link,Img,Price,product-attribute
Cerveza Lager Botellin,(Ref: 730940),Corona,https://www.lider.cl/supermercado/product/Corona-Cerveza-Lager-Botellin/993393,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/993393a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.290,6 Un 330 cc c/u
Pack Cerveza Lager (12 Latas 350cc c/u),(Ref: 523761),Royal Guard,https://www.lider.cl/supermercado/product/Royal-Guard-Pack-Cerveza-Lager-12-Latas-350cc-c-u-/704136,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/704136a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$8.390,12 Un
Cerveza Lager Lata,(Ref: 740575),Budweiser,https://www.lider.cl/supermercado/product/Budweiser-Cerveza-Lager-Lata/852924,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/852924a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$7.490,18 Un 354 cc c/u
Cerveza Lager Botellin,(Ref: 268417),Stella Artois,https://www.lider.cl/supermercado/product/Stella-Artois-Cerveza-Lager-Botellin/307501,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/307501a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.490,6 Un 330 cc c/u
Pack Cervezas Lager 12 Latas,(Ref: 534642),Heineken,https://www.lider.cl/supermercado/product/Heineken-Pack-Cervezas-Lager-12-Latas/723081,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/723081a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.690,12 Latas 350 cc c/u
Pack Cerveza Calafate Ale 4 Botellas,(Ref: 266682),Austral,https://www.lider.cl/supermercado/product/Austral-Pack-Cerveza-Calafate-Ale-4-Botellas/304289,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304289a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.390,4 Un
Pack Cerveza Lager (6 Botellas 355cc c/u),(Ref: 375636),Royal Guard,https://www.lider.cl/supermercado/product/Royal-Guard-Pack-Cerveza-Lager-6-Botellas-355cc-c-u-/304399,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304399a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.690,6 Un
Cerveza Golden Lata,(Ref: 719261),Cusqueña,https://www.lider.cl/supermercado/product/Cusqueña-Cerveza-Golden-Lata/1044326,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1044326a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.590,12 Un 354 cc c/u
Pack 12 Cervezas Latas 350cc,(Ref: 730912),Sol,https://www.lider.cl/supermercado/product/Sol-Pack-12-Cervezas-Latas-350cc/1064767,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1064767a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$8.990,12 Un
Pack Cerveza Premium Lager 6 Botellas,(Ref: 402724),Heineken,https://www.lider.cl/supermercado/product/Heineken-Pack-Cerveza-Premium-Lager-6-Botellas/9603,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/9603a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.490,6 Botellas 330 cc c/u
Pack Cervezas American Lager 12 Latas,(Ref: 728508),Coors,https://www.lider.cl/supermercado/product/Coors-Pack-Cervezas-American-Lager-12-Latas/1060503,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1060503a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.690,12 u
Cerveza Torobayo Lata,(Ref: 663177),Kunstmann,https://www.lider.cl/supermercado/product/Kunstmann-Cerveza-Torobayo-Lata/946485,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/946485a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.000,473 cc
Cerveza Lager Lata,(Ref: 744463),Budweiser,https://www.lider.cl/supermercado/product/Budweiser-Cerveza-Lager-Lata/807074,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/807074a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.650,12 Un 354 cc c/u
Cerveza Lager Lata,(Ref: 330529),Becker,https://www.lider.cl/supermercado/product/Becker-Cerveza-Lager-Lata/409526,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/409526a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.490,18 Un 354 cc c/u
Pack Cervezas 6 botellas,(Ref: 506095),Sol,https://www.lider.cl/supermercado/product/Sol-Pack-Cervezas-6-botellas/534425,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/534425a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.790,6 Botellas 330cc c/u
Pack Cerveza Ale Torobayo 6 Botellas,(Ref: 471813),Kunstmann,https://www.lider.cl/supermercado/product/Kunstmann-Pack-Cerveza-Ale-Torobayo-6-Botellas/614954,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/614954a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$7.190,6 Botellas 330 cc c/u
Pack Cervezas Lager 12 Latas,(Ref: 350839),Escudo,https://www.lider.cl/supermercado/product/Escudo-Pack-Cervezas-Lager-12-Latas/312223,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/312223a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.750,12 Latas 350 cc c/u
Pack Cervezas Sin Alcohol 6 Botellas,(Ref: 705421),Mahou,https://www.lider.cl/supermercado/product/Mahou-Pack-Cervezas-Sin-Alcohol-6-Botellas/804716,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/804716a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$3.490,250 ml
Pack Cervezas Premium Lager 6 Latas,(Ref: 384031),Heineken,https://www.lider.cl/supermercado/product/Heineken-Pack-Cervezas-Premium-Lager-6-Latas/937361,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/937361a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.450,6 Un
Cerveza Amber Lager Lata,(Ref: 694162),Km 24.7,https://www.lider.cl/supermercado/product/Km-24-7-Cerveza-Amber-Lager-Lata/1000535,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1000535a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.590,4 Un 473 cc c/u
Pack Cerveza Lager 12 Latas,(Ref: 312945),Cristal,https://www.lider.cl/supermercado/product/Cristal-Pack-Cerveza-Lager-12-Latas/312203,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/312203a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.990,12 Latas 350 cc c/u
Pack Cerveza Coors Original 5G 6 Botellas,(Ref: 692345),Coors,https://www.lider.cl/supermercado/product/Coors-Pack-Cerveza-Coors-Original-5G-6-Botellas/997706,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/997706a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.090,6 unicades de 355 cc c/u
Pack Cervezas IPA Botella,(Ref: 694521),Royal Guard,https://www.lider.cl/supermercado/product/Royal-Guard-Pack-Cervezas-IPA-Botella/1001064,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1001064a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.490,6 botellas de 335 cc
Cerveza de Trigo Pomelo Lata,(Ref: 544790),Schofferhofer,https://www.lider.cl/supermercado/product/Schofferhofer-Cerveza-de-Trigo-Pomelo-Lata/740892,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/740892a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.190,500 cc
Cerveza Lager Lata,(Ref: 265495),Becker,https://www.lider.cl/supermercado/product/Becker-Cerveza-Lager-Lata/301415,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/301415a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$3.990,12 Un 354 cc c/u
Pack Cervezas Sin Alcohol 6 Botellas,(Ref: 705720),Heineken,https://www.lider.cl/supermercado/product/Heineken-Pack-Cervezas-Sin-Alcohol-6-Botellas/931875,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/931875a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.790,6 Un
Pack Cerveza Lemon Stones 6 Latas,(Ref: 376329),Stones,https://www.lider.cl/supermercado/product/Stones-Pack-Cerveza-Lemon-Stones-6-Latas/304171,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304171a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.850,6 Un
Cerveza Sin Alcohol Lata,(Ref: 705420),Mahou,https://www.lider.cl/supermercado/product/Mahou-Cerveza-Sin-Alcohol-Lata/804712,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/804712a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$730,330 ml
Pack Cervezas 12 Latas,(Ref: 412252),Miller,https://www.lider.cl/supermercado/product/Miller--Pack-Cervezas-12-Latas/521953,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/521953a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$7.990,12 Un
Cerveza Lager Lata,(Ref: 380094),Stella Artois,https://www.lider.cl/supermercado/product/Stella-Artois-Cerveza-Lager-Lata/260878,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/260878a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.690,12 Un 354 cc c/u
Pack Cerveza Royal Guard Amber Ale 6 Latas,(Ref: 728504),Royal Guard,https://www.lider.cl/supermercado/product/Royal-Guard-Pack-Cerveza-Royal-Guard-Amber-Ale-6-Latas/1060499,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1060499a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.490,6 u
Pack Cervezas 6 Botellas,(Ref: 392665),Miller,https://www.lider.cl/supermercado/product/Miller-Pack-Cervezas-6-Botellas/274794,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/274794a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$6.790,355 cc
Cerveza Golden Lata,(Ref: 720113),Cusqueña,https://www.lider.cl/supermercado/product/Cusqueña-Cerveza-Golden-Lata/626768,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/626768a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$2.990,6 Un 354 cc c/u
Cerveza Lager Botellin,(Ref: 730944),Corona,https://www.lider.cl/supermercado/product/Corona-Cerveza-Lager-Botellin/384442,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/384442a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$11.690,12 Un 330 cc c/u
Pack Cerveza Kross Golden Ale 4 Botellas,(Ref: 327582),Kross,https://www.lider.cl/supermercado/product/Kross-Pack-Cerveza-Kross-Golden-Ale-4-Botellas/274744,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/274744a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.350,330 cc
Cerveza Cero Lata,(Ref: 709678),Heineken,https://www.lider.cl/supermercado/product/Heineken-Cerveza-Cero-Lata/1026957,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1026957a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$890,350 cc
Pack Cervezas 4.6G 330 cc c/u Botella,(Ref: 750913),Imperial,https://www.lider.cl/supermercado/product/Imperial-Pack-Cervezas-4-6G-330-cc-c-u-Botella/1100399,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1100399a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$3.090,6 un
Pack cerveza Estrella Damm botella,(Ref: 471811),Damm,https://www.lider.cl/supermercado/product/Damm-Pack-cerveza-Estrella-Damm-botella/937889,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/937889a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.750,330 cc
Pack Cerveza Lager (6 Latas 350cc c/u),(Ref: 266797),Royal Guard,https://www.lider.cl/supermercado/product/Royal-Guard-Pack-Cerveza-Lager-6-Latas-350cc-c-u-/304423,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304423a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.690,6 Un
Cerveza Artesanal Bock Chocolate Naranja 5° G Botella,(Ref: 562262),Volcanes Del Sur,https://www.lider.cl/supermercado/product/Volcanes-Del-Sur-Cerveza-Artesanal-Bock-Chocolate-Naranja-5-G-Botella/771572,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/771572a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.550,350 cc
,,,,,,
Cerveza Lager Lata,(Ref: 262895),Stella Artois,https://www.lider.cl/supermercado/product/Stella-Artois-Cerveza-Lager-Lata/299185,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/299185a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.990,6 Un 354 cc c/u
Cerveza Belgian Witbier Botella,(Ref: 606033),Hoegaarden,https://www.lider.cl/supermercado/product/Hoegaarden-Cerveza-Belgian-Witbier-Botella/849190,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/849190a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.250,330 cc
