Title,Title_link,Thumbnail,Brand,EAN,Price,Especificaciones
Cerveza Mbu Ipa Botella,https://www.tottus.cl/mbu-cerv-pale-ale-italian-mbu--65-20402811/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20402811-cdGTfj18-medium.jpg,MBU - 330 CC,"<div id=""OKTS_div"" data-ean=""8007153601179"" class=""jsx-273525516""></div>",$2.990 UN,Formato330 ccVariedadesaleSellertottusTipo de cervezaPremiumMarcambuOrigenimportadasBusiness score1
Cerveza Clausthaler 330 cc,https://www.tottus.cl/clausthaler-cerveza-salcochol-20128518/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20128518-ijfHGJ1o-medium.png,CLAUSTHALER - 330 CC,"<div id=""OKTS_div"" data-ean=""4053400179223"" class=""jsx-273525516""></div>",$1.350 UN,Formato330 ccVariedadesotrosSellertottusTipo de cervezaPremiumMarcaclausthalerOrigenimportadasBusiness score1
Pack Cerveza Heineken 6x330cc Long Neck,https://www.tottus.cl/heineken-cerveza-nacional-extra-long-neck-01018989/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img--k9gl0Xm-medium.jpg,HEINEKEN - PACK X 6,"<div id=""OKTS_div"" data-ean=""7802100002105"" class=""jsx-273525516""></div>",$5.699 UN,FormatoPack X 6MarcaheinekenVariedadeslagerSellertottusBusiness score1
Barril De Cerveza Lager Sin Filtrar,https://www.tottus.cl/kunstmann-cerveza-lager-sin-filtrar-20410587/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20410587-fsYzW64d-medium.jpg,KUNSTMANN - 5 L,"<div id=""OKTS_div"" data-ean=""7802107000753"" class=""jsx-273525516""></div>",$18.190 UN,Formato5 LSellertottusTipo de cervezaArtesanalesMarcakunstmannOrigennacionalesBusiness score1Sticker appsticker_jose
Cerveza Porter Stout,https://www.tottus.cl/del-puerto-cerveza-nacional-porter-stout-barba-negra-45-20045697/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20045697-GqDgIHkC-medium.png,DEL-PUERTO - 330 CC,"<div id=""OKTS_div"" data-ean=""7804616930026"" class=""jsx-273525516""></div>",$1.250 UN,Formato330 ccVariedadesnegraSellertottusTipo de cervezaArtesanalesMarcadel-puertoOrigennacionalesBusiness score1Sticker appsticker_jose
Pack Cerveza Kross 4x330cc Ale Pilsner Botella,https://www.tottus.cl/kross-cerveza-nacional--pilsner-20056989/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20056989-WSvnhEas-medium.png,KROSS - PACK X 4,"<div id=""OKTS_div"" data-ean=""7804615340055"" class=""jsx-273525516""></div>",$5.989 UN,FormatoPack X 4VariedadeslagerSellertottusTipo de cervezaArtesanalesMarcakrossOrigennacionalesBusiness score1Sticker appsticker_jose
Pack Cerveza Budweiser 6x355cc Long Neck Botella,https://www.tottus.cl/budweiser-cerveza-importada-long-neck-01018670/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1018670-zRwaDuGz-medium.jpg,BUDWEISER - PACK X 6,"<div id=""OKTS_div"" data-ean=""7792757525037"" class=""jsx-273525516""></div>",$5.239 UN,FormatoPack X 6MarcabudweiserSellertottusBusiness score1Sticker appsticker_joseVariedadeslagerLength13.208Width19.050High22.098
Pack Cerveza Alhambra 4x330cc Lager,https://www.tottus.cl/alhambra-cerveza-lager--alhamb--72-20405113/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20405113-UM_lroRU-medium.jpg,ALHAMBRA - PACK X 4,"<div id=""OKTS_div"" data-ean=""8413681305692"" class=""jsx-273525516""></div>",$4.790 UN,FormatoPack X 4VariedadeslagerSellertottusTipo de cervezaPremiumMarcaalhambraOrigenimportadasBusiness score1
Pack Cerveza Kross 6x330cc Golden Botella,https://www.tottus.cl/kross-cerveza-golden-20402625/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20402625-cHq66O5f-medium.png,KROSS - PACK X 6,"<div id=""OKTS_div"" data-ean=""7804615340390"" class=""jsx-273525516""></div>",$7.890 UN,FormatoPack X 6VariedadesaleSellertottusTipo de cervezaArtesanalesMarcakrossOrigennacionalesBusiness score1
Cerveza Saison Dupont 330 cc Rubia,https://www.tottus.cl/saison-dupont-cerv-rubia--saison-dupont--65-20405098/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20405098-5PQrdEyW-medium.jpg,SAISON-DUPONT - 330 CC,"<div id=""OKTS_div"" data-ean=""5410702000331"" class=""jsx-273525516""></div>",$2.969 UN,Formato330 ccVariedadesaleSellertottusTipo de cervezaPremiumMarcasaison-dupontOrigenimportadasBusiness score1
