Nombre,Brand,Title_link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Papas pre fritas congeladas 1 kg,Cuisine & Co,https://www.jumbo.cl/papas-pre-fritas-congeladas-1-kg-cuisine-and-co-1763684/p,,,,,,
Papas fritas corte americano 400 g,Cuisine & Co,https://www.jumbo.cl/papas-fritas-corte-americano-400-g-cuisine-and-co-1782533/p,,$2.069,,Código: 1782533,"Papas seleccionadas 100% naturales para después cortarlas más gruesas y cocinarlas lentamente, dando como resultado unas papas fritas más crujientes y deliciosas; como hechas en casa.",https://jumbo.vtexassets.com/arquivos/ids/417643-750-750?width=750&height=750&aspect=true
Papas fritas tipo americano 380 g,Lays,https://www.jumbo.cl/papas-fritas-tipo-americano-380-g/p,,$2.110,,Código: 1850656,"Papas fritas Lay's tipo Americano original, contenido 380 g",https://jumbo.vtexassets.com/arquivos/ids/355744-750-750?width=750&height=750&aspect=true
Papas fritas rústicas con sal de mar 185 g,Marco Polo,https://www.jumbo.cl/papas-fritas-marco-polo-rusticas-sal-de-mar-200-g-2/p,,$1.979,,Código: 1647865,Papas fritas rústicas Marco Polo con sal de mar. Crujientes y sabrosas ideal para compartir en un picoteo o fiesta.,https://jumbo.vtexassets.com/arquivos/ids/416023-750-750?width=750&height=750&aspect=true
Papas Fritas Caseras Marco Polo Bolsa 400 g,Marco Polo,https://www.jumbo.cl/papas-fritas-caseras-marco-polo-bolsa-400-g-2/p,,$2.289,,Código: 945597,Papas fritas saladas Marco Polo con corte casero. Crujientes y sabrosas ideal para compartir en un picoteo o fiesta.,https://jumbo.vtexassets.com/arquivos/ids/396274-750-750?width=750&height=750&aspect=true
Papas fritas corte americano 400 g,Marco Polo,https://www.jumbo.cl/papas-fritas-marco-polo-bolsa-420-g-corte-americano-2/p,,$2.289,,Código: 975081,Deliciosas papas fritas corte americano. Son ideales para comerlas con tus salsas favoritas. Compártelas con amigos y familiares.,https://jumbo.vtexassets.com/arquivos/ids/415732-750-750?width=750&height=750&aspect=true
Pack papas fritas Stax original 268 g,Lays,https://www.jumbo.cl/papas-fritas-lays-pack-stax-268g/p,,$2.979,,Código: 1819829,Delicioso sabor. Elaborado en base a los más selectos ingredientes. Ideal para todas tus preparaciones y platos favoritos.,https://jumbo.vtexassets.com/arquivos/ids/467072-750-750?width=750&height=750&aspect=true
Papas artesanales sal de mar 250 g,Cuisine & Co,https://www.jumbo.cl/papas-artesanales-sal-de-mar-250-g-cuisine-and-co-1802309/p,,$2.319,,Código: 1802309,"¡Más que buenas, están rebuenas! Las papas artesanales de Cuisine & Co son perfectas para iniciar un carrete o junta especial.",https://jumbo.vtexassets.com/arquivos/ids/410390-750-750?width=750&height=750&aspect=true
Papas fritas caseras sabor crema y ciboulet 200 g,Marco Polo,https://www.jumbo.cl/papas-fritas-marco-polo-caseras-sabor-crema-y-ciboulet-200-g-2/p,$1.303,,,Código: 1607562,Papas fritas caseras Marco Polo sabor Crema y Ciboulette. Crujientes y sabrosas ideal para compartir en un picoteo o fiesta.,https://jumbo.vtexassets.com/arquivos/ids/396276-750-750?width=750&height=750&aspect=true
Papas artesanales sal de mar 185 g,Cuisine & Co,https://www.jumbo.cl/papas-artesanales-sal-de-mar-185-g-cuisine-and-co-1802308/p,,$1.739,,Código: 1802308,"¡Más que buenas, están re buenas! Papas fritas artesanales condimentadas con sal demar. Un poderoso y completo sabor.",https://jumbo.vtexassets.com/arquivos/ids/410389-750-750?width=750&height=750&aspect=true
