Name,SKU,Brand,Title_link,Img,product-attribute,Price
Papas Fritas Stax Sabor Original Tarro,(Ref: 494454),Lay's,https://www.lider.cl/supermercado/product/Lay-s-Papas-Fritas-Stax-Sabor-Original-Tarro/654072,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/654072a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",140 g,$1.490
Papas Fritas Corte Americano,(Ref: 718479),Lays,https://www.lider.cl/supermercado/product/Lays-Papas-Fritas-Corte-Americano/1042843,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1042843a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",240 g,$1.350
Papas Fritas Artesanas Sabor Original,(Ref: 638115),Lay's,https://www.lider.cl/supermercado/product/Lay-s-Papas-Fritas-Artesanas-Sabor-Original/903067,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/903067a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",185 g,$1.930
Chips Patagonia,(Ref: 819026),Tika,https://www.lider.cl/supermercado/product/Tika-Chips-Patagonia/486513,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/486513a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",180 g,$2.990
Papas Fritas Tarro Stax Crema y Cebolla,(Ref: 494456),Lays,https://www.lider.cl/supermercado/product/Lays-Papas-Fritas-Tarro-Stax-Crema-y-Cebolla/654076,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/654076a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",140 g,$1.490
Papas Fritas Rústicas Sal de Mar,(Ref: 779861),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Papas-Fritas-Rústicas-Sal-de-Mar/815753,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/815753a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",185 g,$1.960
Papas Fritas Corte Americano,(Ref: 696627),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Papas-Fritas-Corte-Americano/279063,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/279063a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",400 g,$1.390
Papas Fritas Lisas,(Ref: 696629),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Papas-Fritas-Lisas/279107,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/279107a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",400 g,$2.150
Papas Fritas Tarro Original,(Ref: 519530),Kryzpo,https://www.lider.cl/supermercado/product/Kryzpo-Papas-Fritas-Tarro-Original/690513,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/690513a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",130 g,$1.590
Terra Vegetales Rústicos 180g,(Ref: 811074),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Terra-Vegetales-Rústicos-180g/842911,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/842911a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,$2.650
Chips Nativos de Camotes y Betarragas,(Ref: 819027),Tika,https://www.lider.cl/supermercado/product/Tika-Chips-Nativos-de-Camotes-y-Betarragas/486517,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/486517a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",180 g,$2.990
Papas Fritas Lisas,(Ref: 777142),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Papas-Fritas-Lisas/279067,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/279067a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",250 g,$1.350
Papas Fritas Corte Americano,(Ref: 777140),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Papas-Fritas-Corte-Americano/279055,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/279055a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",250 g,$1.350
