Title,Title_link,Thumbnail,Brand,EAN,Price,Especificaciones
Papas fritas crema cebolla,https://www.tottus.cl/kryzpo-papas-fritas-crema-cebolla-20261604/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20261604-e7S1zJn3-medium.png,KRYZPO - 130 G,"<div id=""OKTS_div"" data-ean=""7802800533589"" class=""jsx-273525516""></div>",$1.100 UN,Formato130 gAlto en sodiosiAzucares totales por 100 gr g0.8 gHidratos de carbono disponibles por 100 gr g55.6 gSodio por porcion mg135 mgSellertottusGrasa total por 100 gr g33 gEnergia por 100 gr kcal543 kcalGrasa total por porcion g8.6 gAzucares totales por porcion g0.1 gAlto en caloriassiMarcakryzpoProteinas por porcion g1.5 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal141 kcalAlto en azucarnoSodio por 100 gr mg520 mgProteinas por 100 gr g5.8 gSticker appfazilweek
Papas fritas original,https://www.tottus.cl/kryzpo-papas-fritas-original-20261602/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20261602-4mUl1c41-medium.jpg,KRYZPO - 130 G,"<div id=""OKTS_div"" data-ean=""7802800533565"" class=""jsx-273525516""></div>","$1.100 UN,$920 UN",Formato130 gAlto en sodionoAzucares totales por 100 gr g0.2 gHidratos de carbono disponibles por 100 gr g57.0 gSodio por porcion mg133 mgSellertottusGrasa total por 100 gr g33.0 gEnergia por 100 gr kcal548 kcalGrasa total por porcion g8.6 gAzucares totales por porcion g0.1 gAlto en caloriassiMarcakryzpoProteinas por porcion g1.5 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal142 kcalAlto en azucarnoSodio por 100 gr mg510 mgProteinas por 100 gr g5.7 gSticker appfazilweek
Papas fritas queso,https://www.tottus.cl/kryzpo-papas-fritas-queso-20261603/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20261603-6VU-0Mnu-medium.png,KRYZPO - 130 G,"<div id=""OKTS_div"" data-ean=""7802800533572"" class=""jsx-273525516""></div>","$1.100 UN,$1.690 UN,$4.190 UN,$3.990 UN,$1.360 UN",Formato130 gAlto en sodionoAzucares totales por 100 gr g0.2 gHidratos de carbono disponibles por 100 gr g56.7 gSodio por porcion mg140 mgSellertottusGrasa total por 100 gr g33 gEnergia por 100 gr kcal548 kcalGrasa total por porcion g8.6 gAzucares totales por porcion g0.1 gAlto en caloriassiMarcakryzpoProteinas por porcion g1.5 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal142 kcalAlto en azucarnoSodio por 100 gr mg540 mgProteinas por 100 gr g5.8 gSticker appfazilweek
Papas Fritas Corte Americano 380 gr,https://www.tottus.cl/lays-papas-fritas-americana-lays-380-grm-20453055/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20453055-oJTyl0ei-medium.jpg,LAYS - 380 G,"<div id=""OKTS_div"" data-ean=""7802000014703"" class=""jsx-273525516""></div>","$2.050 UN,$920 UN",Formato380 gMarcalaysSellertottusBusiness score1Sticker appfazilweek
Chips papas original,https://www.tottus.cl/tottus-chips-papas-original-tottus-134-g-20457622/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20457622-PB2M0Ydt-medium.jpg,TOTTUS - 134 G,"<div id=""OKTS_div"" data-ean=""7804628244227"" class=""jsx-273525516""></div>","$990 UN,$920 UN",Formato134 gMarcatottusSellertottusBusiness score1Sticker appsticker_preciazos
Papas Fritas Corte Liso,https://www.tottus.cl/tottus-papas-fritas-corte-liso-tottus-400-g-20579851/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20579851-HDHe90vo-medium.jpg,TOTTUS - 400 G,"<div id=""OKTS_div"" data-ean=""7804672823058"" class=""jsx-273525516""></div>","$1.690 UN,$920 UN",Formato400 gMarcatottusSellertottusBusiness score1Sticker appproductostottusapp
Papas Fritas Americanas,https://www.tottus.cl/tottus-papas-fritas-americanas-20309228/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20309228-8lYd-553-medium.jpg,TOTTUS - 250 G,"<div id=""OKTS_div"" data-ean=""7802420002236"" class=""jsx-273525516""></div>","$990 UN,$920 UN",Formato250 gAlto en sodionoAzucares totales por 100 gr g0.5 gHidratos de carbono disponibles por 100 gr g50 gSodio por porcion mg116 mgSellertottusGrasa total por 100 gr g35 gEnergia por 100 gr kcal534 kcalGrasa total por porcion g8.6 gAzucares totales por porcion g0.1 gAlto en caloriassiMarcatottusProteinas por porcion g1.6 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal134 kcalAlto en azucarnoSodio por 100 gr mg464 mgProteinas por 100 gr g6.4 gSticker appproductostottusapp
Papas Fritas Lisas,https://www.tottus.cl/tottus-papas-fritas-lisas-20309227/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20309227-qXkFQkMx-medium.jpg,TOTTUS - 250 G,"<div id=""OKTS_div"" data-ean=""7802420002328"" class=""jsx-273525516""></div>",$1.130 UN,Formato250 gAlto en sodionoAzucares totales por 100 gr g0.5 gHidratos de carbono disponibles por 100 gr g50 gSodio por porcion mg116 mgSellertottusGrasa total por 100 gr g35 gEnergia por 100 gr kcal534 kcalGrasa total por porcion g8.6 gAzucares totales por porcion g0.2 gAlto en caloriassiMarcatottusProteinas por porcion g1.6 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal134 kcalAlto en azucarnoSodio por 100 gr mg464 mgProteinas por 100 gr g6.4 gSticker appproductostottusapp
Papas Fritas Merken,https://www.tottus.cl/tottus-papas-fritas-merken-tottus-142-g-20512547/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20512547-5dlCUnd7-medium.jpg,TOTTUS - 142 G,"<div id=""OKTS_div"" data-ean=""7804672821511"" class=""jsx-273525516""></div>","$1.290 UN,$1.690 UN,$4.190 UN,$3.990 UN,$1.360 UN","Formato142 gMarcatottusSellertottusBusiness score1Sticker appproductostottusapp,sticker_preciazos"
Papas Fritas Caseras,https://www.tottus.cl/marco-polo-papas-fritas-caseras-20403248/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20403248-3lKQqXR1-medium.png,MARCO-POLO - 250 G,"<div id=""OKTS_div"" data-ean=""7802420003929"" class=""jsx-273525516""></div>","$1.430 UN,$920 UN",Formato250 gAlto en sodionoSellertottusAlto en caloriassiMarcamarco-poloAlto en grasasnoBusiness score1Alto en azucarnoSticker appsticker_preciazos
Papas Fritas Artesanas Original 185 gr,https://www.tottus.cl/lays-papas-fritas-artesana-20280408/p/,,LAYS - 185 G,"<div id=""OKTS_div"" data-ean=""7802000012389"" class=""jsx-273525516""></div>","$1.990 UN,$920 UN",Formato185 gAlto en sodionoSellertottusAlto en caloriassiMarcalaysAlto en grasasnoBusiness score1Alto en azucarnoSticker appsticker_jose
Papas Fritas Corte Americano 230 gr,https://www.tottus.cl/lays-papas-fritas-20075291/p/,,LAYS - 230 G,"<div id=""OKTS_div"" data-ean=""7802000012679"" class=""jsx-273525516""></div>",$1.420 UN,"Formato230 gAlto en sodionoAzucares totales por 100 gr g2 gHidratos de carbono disponibles por 100 gr g57 gSodio por porcion mg94 mgSellertottusGrasa total por 100 gr g34 gEnergia por 100 gr kcal552 kcalGrasa total por porcion g8,5 gAzucares totales por porcion g0,5 gAlto en caloriassiMarcalaysProteinas por porcion g1,1 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal138 kcalAlto en azucarnoSodio por 100 gr mg376 mgProteinas por 100 gr g4,4 gSticker appsticker_jose"
Papas Fritas Corte Liso 230 gr,https://www.tottus.cl/lays-papas-lays-corte-liso-20293074/p/,,LAYS - 230 G,"<div id=""OKTS_div"" data-ean=""7802000011108"" class=""jsx-273525516""></div>","$1.390 UN,$920 UN","Formato230 gAlto en sodionoAzucares totales por 100 gr g2 gHidratos de carbono disponibles por 100 gr g57 gSodio por porcion mg94 mgSellertottusGrasa total por 100 gr g34 gEnergia por 100 gr kcal552 kcalGrasa total por porcion g8,5 gAzucares totales por porcion g0,5 gAlto en caloriassiMarcalaysProteinas por porcion g1,1 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal138 kcalAlto en azucarnoSodio por 100 gr mg376 mgProteinas por 100 gr g4,4 gSticker appsticker_jose"
Papas Fritas Caseras,https://www.tottus.cl/marco-polo-papas-fritas-caseras-20074391/p/,,MARCO-POLO - 400 G,"<div id=""OKTS_div"" data-ean=""7802420150104"" class=""jsx-273525516""></div>","$1.600 UN,$920 UN","Formato400 gAlto en sodionoAzucares totales por 100 gr g0,5 gHidratos de carbono disponibles por 100 gr g49,4 gSodio por porcion mg99,5 mgSellertottusGrasa total por 100 gr g34 gEnergia por 100 gr kcal528 kcalGrasa total por porcion g8,5 gAzucares totales por porcion g0,1 gAlto en caloriassiMarcamarco-poloProteinas por porcion g1,5 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal132 kcalAlto en azucarnoSodio por 100 gr mg398 mgProteinas por 100 gr g6 gSticker appsticker_jose"
