ean,title,exclusive,description,slug,pack,cant,unit,image,brand,url_img_ext,category_id
7801420001553,Arroz Rissoto Italiano,1,,,,1,Kg,,TUCAPEL,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20235299-M2ix7Ije-medium.jpg,
7801420001577,Arroz Integral,0,,,,400,g,,BANQUETE,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20265825-VXk2Qwei-medium.jpg,
7800120176776,Arroz Basmati Miraflores,1,,,,400,g,,MIRAFLORES,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20627839-Z4wTL2fI-medium.jpg,
7801420250142,Arroz G1 Grano Largo Ancho,0,,,,1,kg,,TUCAPEL,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024017-30QuokV4-medium.jpg,
7800120176790,Arroz Risotto Miraflores,1,,,,400,g,,MIRAFLORES,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20627840-zN-2pM-Z-medium.jpg,
7802615006551,Arroz Miraflores G1 Grano Largo Ancho,0,,,,1,Kg,,MIRAFLORES,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024094-jo_2aa9F-medium.jpg,
7801420210139,Arroz G2 Grano Largo Angosto,1,,,,1,Kg,,TUCAPEL,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024072-gDCgkcik-medium.jpg,
7804608222474,Arroz G2 Grano Largo Angosto,1,,,,1,Kg,,TOTTUS,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20314273-AkfJaEQW-medium.jpg,
7802615006568,Arroz Miraflores G1 Pregraneado,1,,,,1,Kg,,MIRAFLORES,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024090-LlLehad0-medium.jpg,
7801420130130,Arroz G1 Integral Largo Ancho,0,,,,1,Kg,,TUCAPEL,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024073-ATgzPlRs-medium.jpg,
7801420001690,Arroz G1 Grano Largo Angosto,1,,,,1,kg,,TUCAPEL,,
8001860201011,Arroz arborio,0,,,,1,kg,,SCOTTI,,
7801420220138,Arroz G2 Grano Largo Ancho,0,,,,1,Kg,,TUCAPEL,,
7801420140139,Arroz G1 Pregraneado Grano Ancho,1,,,,1,kg,,TUCAPEL,,
7803110102212,Arroz G1 Grano Largo Ancho,0,,,,1,kg,,BANQUETE,,
7803110000198,Arroz G1 Grano Largo Ancho,0,,,,2,kg,,BANQUETE,,
